category,subcategory,name,value
health_system,icu_limit_relative,icu_limit_relative,50.0
cd_immune_false,all,1000,1.0
cd_infectious_true,all,1,0.39
cd_infectious_true,all,2,0.35
cd_infectious_true,all,3,0.22
cd_infectious_true,all,5,0.04
cd_infectious_false,all,3,0.1
cd_infectious_false,all,5,0.25
cd_infectious_false,all,7,0.25
cd_infectious_false,all,9,0.2
cd_infectious_false,all,11,0.2
cd_symptoms_true,all,1,0.335
cd_symptoms_true,all,2,0.335
cd_symptoms_true,all,-1,0.33
cd_symptoms_false,all,15,0.1
cd_symptoms_false,all,18,0.3
cd_symptoms_false,all,22,0.3
cd_symptoms_false,all,27,0.3
cd_needs_icu_true,0-9,-1,0.99995
cd_needs_icu_true,0-9,7,5e-05
cd_needs_icu_true,10-19,-1,0.9997
cd_needs_icu_true,10-19,7,0.0003
cd_needs_icu_true,20-29,-1,0.99925
cd_needs_icu_true,20-29,7,0.00075
cd_needs_icu_true,30-39,-1,0.99655
cd_needs_icu_true,30-39,7,0.00345
cd_needs_icu_true,40-49,-1,0.99
cd_needs_icu_true,40-49,7,0.01
cd_needs_icu_true,50-59,-1,0.97
cd_needs_icu_true,50-59,4,0.01
cd_needs_icu_true,50-59,7,0.01
cd_needs_icu_true,50-59,10,0.01
cd_needs_icu_true,60-69,-1,0.9
cd_needs_icu_true,60-69,4,0.025
cd_needs_icu_true,60-69,6,0.025
cd_needs_icu_true,60-69,8,0.025
cd_needs_icu_true,60-69,10,0.025
cd_needs_icu_true,70-79,-1,0.83
cd_needs_icu_true,70-79,4,0.0425
cd_needs_icu_true,70-79,6,0.0425
cd_needs_icu_true,70-79,8,0.0425
cd_needs_icu_true,70-79,10,0.0425
cd_needs_icu_true,80-100,-1,0.73
cd_needs_icu_true,80-100,4,0.0675
cd_needs_icu_true,80-100,6,0.0675
cd_needs_icu_true,80-100,8,0.0675
cd_needs_icu_true,80-100,10,0.0675
cd_dead_true,0-9,-1,0.67
cd_dead_true,0-9,1,0.14
cd_dead_true,0-9,12,0.07
cd_dead_true,0-9,20,0.1
cd_dead_true,0-9,32,0.02
cd_dead_true,10-19,-1,0.75
cd_dead_true,10-19,1,0.1
cd_dead_true,10-19,12,0.06
cd_dead_true,10-19,20,0.07
cd_dead_true,10-19,32,0.02
cd_dead_true,20-29,-1,0.5
cd_dead_true,20-29,1,0.2
cd_dead_true,20-29,12,0.12
cd_dead_true,20-29,20,0.14
cd_dead_true,20-29,32,0.04
cd_dead_true,30-39,-1,0.5
cd_dead_true,30-39,1,0.2
cd_dead_true,30-39,12,0.12
cd_dead_true,30-39,20,0.14
cd_dead_true,30-39,32,0.04
cd_dead_true,40-49,-1,0.5
cd_dead_true,40-49,1,0.2
cd_dead_true,40-49,12,0.12
cd_dead_true,40-49,20,0.14
cd_dead_true,40-49,32,0.04
cd_dead_true,50-59,-1,0.31
cd_dead_true,50-59,1,0.29
cd_dead_true,50-59,12,0.15
cd_dead_true,50-59,20,0.2
cd_dead_true,50-59,32,0.05
cd_dead_true,60-69,-1,0.35
cd_dead_true,60-69,1,0.27
cd_dead_true,60-69,12,0.14
cd_dead_true,60-69,20,0.19
cd_dead_true,60-69,32,0.05
