Datum,"1,5m Abstand halten, CI-","1,5m Abstand halten, CI+","1,5m Abstand halten, M","1,5m Abstand halten, N","Atemschutzmaske tragen, CI-","Atemschutzmaske tragen, CI+","Atemschutzmaske tragen, M","Atemschutzmaske tragen, N","Gespräche mit engem Kontakt meiden, CI-","Gespräche mit engem Kontakt meiden, CI+","Gespräche mit engem Kontakt meiden, M","Gespräche mit engem Kontakt meiden, N","Räume regelmäßig lüften, CI-","Räume regelmäßig lüften, CI+","Räume regelmäßig lüften, M","Räume regelmäßig lüften, N"
2020-03-03,,,,0,,,,0,,,,0,,,,0
2020-03-10,,,,0,,,,0,,,,0,,,,0
2020-03-17,,,,0,,,,0,,,,0,,,,0
2020-03-24,,,,0,,,,0,,,,0,,,,0
2020-03-31,,,,0,,,,0,,,,0,,,,0
2020-04-07,,,,0,,,,0,,,,0,,,,0
2020-04-14,4.41438001994196,4.50945776442995,4.46191889218595,1011,2.15435579073455,2.34564420926545,2.25,876,,,,0,,,,0
2020-04-21,4.46179917927016,4.55333704676415,4.50756811301715,991,2.50867896025921,2.71060921425284,2.60964408725603,871,,,,0,,,,0
2020-04-28,4.4035317230877,4.50284277890433,4.45318725099602,1004,3.53649501552519,3.70338037388291,3.61993769470405,963,,,,0,,,,0
2020-05-05,4.29391932617332,4.39622151889711,4.34507042253521,994,4.04210886697304,4.17001234514817,4.10606060606061,990,,,,0,,,,0
2020-05-12,4.32078095941111,4.42270601453678,4.37174348697395,998,4.16646160676242,4.29136971853878,4.2289156626506,996,,,,0,,,,0
2020-05-19,4.24452102091748,4.35086681975338,4.29769392033543,954,4.16464209258491,4.28514870239417,4.22489539748954,956,,,,0,,,,0
2020-05-26,4.26776289042486,4.37556314896244,4.32166301969365,914,4.21715597442016,4.3407271567816,4.27894156560088,907,,,,0,,,,0
2020-06-09,4.18941494853722,4.29678462683433,4.24309978768578,942,4.26153057150177,4.37685755150989,4.31919406150583,943,,,,0,4.25452746578808,4.36426873273356,4.30939809926082,947
2020-06-23,4.1312786362838,4.24153289821671,4.18640576725026,971,4.2963253001368,4.40654355232222,4.35143442622951,976,,,,0,4.3008243007437,4.41010521917459,4.35546475995914,979
2020-07-07,4.2424769362728,4.3446974124246,4.2935871743487,998,4.44080517408864,4.54417981089635,4.49249249249249,999,,,,0,4.3777597864116,4.4782402135884,4.428,1000
2020-07-21,4.17753714921708,4.28493749581334,4.23123732251521,986,4.42706224280966,4.53068423606358,4.47887323943662,994,,,,0,4.32093274437709,4.42881396281642,4.37487335359676,987
2020-08-04,4.18111419973789,4.28995179010982,4.23553299492386,985,4.46231587758547,4.55990634463675,4.51111111111111,990,,,,0,4.39168113983038,4.49386102884431,4.44277108433735,996
2020-08-18,4.16686810296827,4.28159098311037,4.22422954303932,941,4.37816866969909,4.48842684791031,4.4332977588047,937,,,,0,4.37171452672236,4.48116393809641,4.42643923240938,938
2020-09-01,4.10494037054357,4.21530756334073,4.16012396694215,968,4.29382707632823,4.40926570717692,4.35154639175258,970,,,,0,4.24627899874768,4.35846816327502,4.30237358101135,969
2020-09-15,4.044201869828,4.15901744606737,4.10160965794769,994,4.33143387860971,4.44198001867126,4.38670694864048,993,,,,0,4.28658000670129,4.3982684781472,4.34242424242424,990
2020-09-30,4.14219521127367,4.24872285387934,4.19545903257651,1013,4.41906210146032,4.52396343881473,4.47151277013752,1018,,,,0,4.25993312211655,4.36593064886075,4.31293188548865,1013
2020-10-13,4.17901671462142,4.28692602970237,4.2329713721619,1013,4.58322043185271,4.67487574086564,4.62904808635918,1019,3.91355435850403,4.04967342494847,3.98161389172625,979,4.24558460632603,4.35461089709528,4.30009775171065,1023
2020-10-27,4.23534748108128,4.33777504856299,4.28656126482213,1012,4.56480967328329,4.65818338915477,4.61149653121903,1009,4.05907287492615,4.18408821929877,4.12158054711246,987,4.23601936303468,4.3441786567673,4.29009900990099,1010
2020-11-03,4.22280084177214,4.32809736182067,4.27544910179641,1002,4.5603017602896,4.65682971381399,4.60856573705179,1004,4.13075334538205,4.26059577923175,4.1956745623069,971,4.24442894027855,4.35416965832005,4.2992992992993,999
2020-11-10,4.22338219856235,4.33018923000907,4.27678571428571,1008,4.57723621032226,4.67003290586443,4.62363455809335,1007,4.1849007754006,4.31305004427153,4.24897540983607,976,4.27115370580803,4.38093376934108,4.32604373757455,1006
2020-11-17,4.27290433968268,4.37596629686762,4.32443531827515,974,4.60743485124963,4.69655696041874,4.65199590583419,977,4.1925232880021,4.31481423820335,4.25366876310273,954,4.27072549801511,4.37809015594987,4.32440782698249,971
2020-12-01,4.29731470559767,4.39781935597134,4.34756703078451,1007,4.61966543254758,4.70836637659755,4.66401590457256,1006,4.22680529462303,4.34907828126054,4.28794178794179,962,4.19916928709512,4.31426354872578,4.25671641791045,1005
2020-12-08,,,,0,4.52369027654596,4.60522450859606,4.56445739257101,1373,,,,0,,,,0
