hh_id,country,hh_size
Mo08HH1,IT,3
Mo08HH2,IT,3
Mo08HH3,IT,3
Mo08HH4,IT,3
Mo08HH5,IT,4
Mo08HH6,IT,4
Mo08HH7,IT,5
Mo08HH8,IT,5
Mo08HH9,IT,4
Mo08HH10,IT,4
Mo08HH11,IT,5
Mo08HH12,IT,3
Mo08HH13,IT,4
Mo08HH14,IT,4
Mo08HH15,IT,3
Mo08HH16,IT,3
Mo08HH17,IT,6
Mo08HH18,IT,3
Mo08HH19,IT,4
Mo08HH20,IT,4
Mo08HH21,IT,5
Mo08HH22,IT,5
Mo08HH23,IT,4
Mo08HH24,IT,4
Mo08HH25,IT,4
Mo08HH26,IT,3
Mo08HH27,IT,4
Mo08HH28,IT,4
Mo08HH29,IT,4
Mo08HH30,IT,4
Mo08HH31,IT,4
Mo08HH32,IT,4
Mo08HH33,IT,3
Mo08HH34,IT,3
Mo08HH35,IT,4
Mo08HH36,IT,4
Mo08HH37,IT,6
Mo08HH38,IT,3
Mo08HH39,IT,3
Mo08HH40,IT,4
Mo08HH41,IT,4
Mo08HH42,IT,4
Mo08HH43,IT,3
Mo08HH44,IT,4
Mo08HH45,IT,4
Mo08HH46,IT,4
Mo08HH47,IT,4
Mo08HH48,IT,3
Mo08HH49,IT,6
Mo08HH50,IT,4
Mo08HH51,IT,4
Mo08HH52,IT,3
Mo08HH53,IT,5
Mo08HH54,IT,4
Mo08HH55,IT,4
Mo08HH56,IT,5
Mo08HH57,IT,4
Mo08HH58,IT,4
Mo08HH59,IT,4
Mo08HH60,IT,4
Mo08HH61,IT,3
Mo08HH62,IT,4
Mo08HH63,IT,4
Mo08HH64,IT,4
Mo08HH65,IT,3
Mo08HH66,IT,4
Mo08HH67,IT,5
Mo08HH68,IT,4
Mo08HH69,IT,4
Mo08HH70,IT,4
Mo08HH71,IT,4
Mo08HH72,IT,3
Mo08HH73,IT,5
Mo08HH74,IT,4
Mo08HH75,IT,4
Mo08HH76,IT,4
Mo08HH77,IT,3
Mo08HH78,IT,5
Mo08HH79,IT,5
Mo08HH80,IT,4
Mo08HH81,IT,7
Mo08HH82,IT,4
Mo08HH83,IT,4
Mo08HH84,IT,5
Mo08HH85,IT,1
Mo08HH86,IT,4
Mo08HH87,IT,3
Mo08HH88,IT,4
Mo08HH89,IT,4
Mo08HH90,IT,4
Mo08HH91,IT,4
Mo08HH92,IT,4
Mo08HH93,IT,4
Mo08HH94,IT,8
Mo08HH95,IT,4
Mo08HH96,IT,4
Mo08HH97,IT,3
Mo08HH98,IT,3
Mo08HH99,IT,3
Mo08HH100,IT,5
