part_id,hh_id,part_age,part_gender
1,Mo08HH1,8,F
2,Mo08HH2,6,M
3,Mo08HH3,0,F
4,Mo08HH4,1,M
5,Mo08HH5,2,M
6,Mo08HH6,7,M
7,Mo08HH7,2,M
8,Mo08HH8,5,M
9,Mo08HH9,3,M
10,Mo08HH10,3,F
11,Mo08HH11,4,M
12,Mo08HH12,2,F
13,Mo08HH13,8,M
14,Mo08HH14,2,M
15,Mo08HH15,2,F
16,Mo08HH16,5,M
17,Mo08HH17,8,M
18,Mo08HH18,4,F
19,Mo08HH19,3,M
20,Mo08HH20,3,M
21,Mo08HH21,2,F
22,Mo08HH22,3,M
23,Mo08HH23,8,F
24,Mo08HH24,6,M
25,Mo08HH25,5,M
26,Mo08HH26,6,M
27,Mo08HH27,8,F
28,Mo08HH28,5,F
29,Mo08HH29,6,M
30,Mo08HH30,7,M
31,Mo08HH31,3,F
32,Mo08HH32,4,M
33,Mo08HH33,6,M
34,Mo08HH34,3,M
35,Mo08HH35,1,F
36,Mo08HH36,10,M
37,Mo08HH37,14,M
38,Mo08HH38,9,F
39,Mo08HH39,13,M
40,Mo08HH40,9,F
41,Mo08HH41,10,M
42,Mo08HH42,16,F
43,Mo08HH43,9,M
44,Mo08HH44,16,F
45,Mo08HH45,13,M
46,Mo08HH46,14,F
47,Mo08HH47,15,F
48,Mo08HH48,15,M
49,Mo08HH49,14,M
50,Mo08HH50,11,M
51,Mo08HH51,9,M
52,Mo08HH52,16,F
53,Mo08HH53,9,M
54,Mo08HH54,16,F
55,Mo08HH55,16,M
56,Mo08HH56,14,F
57,Mo08HH57,9,F
58,Mo08HH58,12,F
59,Mo08HH59,13,M
60,Mo08HH60,14,M
61,Mo08HH61,15,F
62,Mo08HH62,14,M
63,Mo08HH63,12,M
64,Mo08HH64,14,F
65,Mo08HH65,13,M
66,Mo08HH66,15,F
67,Mo08HH67,13,F
68,Mo08HH68,17,F
69,Mo08HH69,17,M
70,Mo08HH70,12,F
71,Mo08HH71,16,F
72,Mo08HH72,17,F
73,Mo08HH73,10,F
74,Mo08HH74,17,M
75,Mo08HH75,12,M
76,Mo08HH76,11,F
77,Mo08HH77,12,F
78,Mo08HH78,9,F
79,Mo08HH79,17,M
80,Mo08HH80,13,M
81,Mo08HH81,9,M
82,Mo08HH82,13,M
83,Mo08HH83,10,M
84,Mo08HH84,15,M
85,Mo08HH85,,
86,Mo08HH86,17,F
87,Mo08HH87,11,M
88,Mo08HH88,14,M
89,Mo08HH89,13,M
90,Mo08HH90,14,F
91,Mo08HH91,12,M
92,Mo08HH92,9,M
93,Mo08HH93,10,F
94,Mo08HH94,3,F
95,Mo08HH95,4,M
96,Mo08HH96,5,F
97,Mo08HH97,0,M
98,Mo08HH98,5,F
99,Mo08HH99,0,F
100,Mo08HH100,5,M
101,Mo08HH101,4,F
102,Mo08HH102,3,M
103,Mo08HH103,3,M
104,Mo08HH104,6,M
105,Mo08HH105,8,M
106,Mo08HH106,5,M
107,Mo08HH107,8,F
108,Mo08HH108,4,M
109,Mo08HH109,8,M
110,Mo08HH110,3,M
111,Mo08HH111,4,F
112,Mo08HH112,2,M
113,Mo08HH113,2,F
114,Mo08HH114,5,F
115,Mo08HH115,5,M
116,Mo08HH116,1,F
117,Mo08HH117,6,F
118,Mo08HH118,4,M
119,Mo08HH119,7,F
120,Mo08HH120,8,F
121,Mo08HH121,2,M
122,Mo08HH122,0,M
123,Mo08HH123,1,M
124,Mo08HH124,6,F
125,Mo08HH125,1,M
126,Mo08HH126,1,M
127,Mo08HH127,1,M
128,Mo08HH128,8,M
129,Mo08HH129,8,F
130,Mo08HH130,2,M
131,Mo08HH131,2,F
132,Mo08HH132,8,M
133,Mo08HH133,2,F
134,Mo08HH134,1,M
135,Mo08HH135,3,M
136,Mo08HH136,4,M
137,Mo08HH137,3,M
138,Mo08HH138,7,F
139,Mo08HH139,4,F
140,Mo08HH140,3,F
141,Mo08HH141,6,M
142,Mo08HH142,7,F
143,Mo08HH143,5,M
144,Mo08HH144,5,F
145,Mo08HH145,5,M
146,Mo08HH146,3,M
147,Mo08HH147,5,F
148,Mo08HH148,6,M
149,Mo08HH149,6,M
150,Mo08HH150,6,F
151,Mo08HH151,3,F
152,Mo08HH152,8,M
153,Mo08HH153,0,F
154,Mo08HH154,3,M
155,Mo08HH155,4,M
156,Mo08HH156,6,F
157,Mo08HH157,0,M
158,Mo08HH158,4,F
159,Mo08HH159,4,M
160,Mo08HH160,3,M
161,Mo08HH161,1,M
162,Mo08HH162,5,F
163,Mo08HH163,4,M
164,Mo08HH164,1,F
165,Mo08HH165,1,M
166,Mo08HH166,6,M
167,Mo08HH167,6,F
168,Mo08HH168,7,M
169,Mo08HH169,8,F
170,Mo08HH170,5,F
171,Mo08HH171,4,M
172,Mo08HH172,6,M
173,Mo08HH173,3,F
174,Mo08HH174,6,F
175,Mo08HH175,7,F
176,Mo08HH176,3,M
177,Mo08HH177,8,M
178,Mo08HH178,1,M
179,Mo08HH179,3,M
180,Mo08HH180,6,M
181,Mo08HH181,7,M
182,Mo08HH182,3,M
183,Mo08HH183,6,F
184,Mo08HH184,7,M
185,Mo08HH185,4,M
186,Mo08HH186,3,M
187,Mo08HH187,4,F
188,Mo08HH188,2,M
189,Mo08HH189,7,M
190,Mo08HH190,7,F
191,Mo08HH191,4,F
192,Mo08HH192,1,M
193,Mo08HH193,3,M
194,Mo08HH194,7,F
195,Mo08HH195,8,M
196,Mo08HH196,3,M
197,Mo08HH197,6,F
198,Mo08HH198,5,F
199,Mo08HH199,3,M
200,Mo08HH200,7,M
201,Mo08HH201,16,F
202,Mo08HH202,10,M
203,Mo08HH203,14,F
204,Mo08HH204,11,M
205,Mo08HH205,17,F
206,Mo08HH206,15,M
207,Mo08HH207,13,F
208,Mo08HH208,14,M
209,Mo08HH209,12,F
210,Mo08HH210,15,F
211,Mo08HH211,13,F
212,Mo08HH212,14,M
213,Mo08HH213,13,M
214,Mo08HH214,15,M
215,Mo08HH215,16,F
216,Mo08HH216,12,F
217,Mo08HH217,16,F
218,Mo08HH218,10,F
219,Mo08HH219,14,M
220,Mo08HH220,10,M
221,Mo08HH221,10,M
222,Mo08HH222,14,F
223,Mo08HH223,17,F
224,Mo08HH224,16,M
225,Mo08HH225,11,M
226,Mo08HH226,14,F
227,Mo08HH227,14,F
228,Mo08HH228,13,M
229,Mo08HH229,15,F
230,Mo08HH230,12,F
231,Mo08HH231,16,F
232,Mo08HH232,15,M
233,Mo08HH233,12,F
234,Mo08HH234,13,M
235,Mo08HH235,11,M
236,Mo08HH236,14,F
237,Mo08HH237,16,M
238,Mo08HH238,,
239,Mo08HH239,14,F
240,Mo08HH240,12,F
241,Mo08HH241,15,F
242,Mo08HH242,15,M
243,Mo08HH243,11,F
244,Mo08HH244,12,F
245,Mo08HH245,17,M
246,Mo08HH246,,
247,Mo08HH247,14,M
248,Mo08HH248,10,F
249,Mo08HH249,14,M
250,Mo08HH250,17,M
251,Mo08HH251,9,M
252,Mo08HH252,14,F
253,Mo08HH253,14,F
254,Mo08HH254,11,M
255,Mo08HH255,10,F
256,Mo08HH256,14,M
257,Mo08HH257,12,F
258,Mo08HH258,10,F
259,Mo08HH259,11,M
260,Mo08HH260,15,M
261,Mo08HH261,16,F
262,Mo08HH262,17,M
263,Mo08HH263,13,M
264,Mo08HH264,9,M
265,Mo08HH265,14,M
266,Mo08HH266,11,F
267,Mo08HH267,17,F
268,Mo08HH268,11,F
269,Mo08HH269,17,M
270,Mo08HH270,17,M
271,Mo08HH271,9,F
272,Mo08HH272,9,F
273,Mo08HH273,12,M
274,Mo08HH274,14,M
275,Mo08HH275,10,M
276,Mo08HH276,9,F
277,Mo08HH277,14,F
278,Mo08HH278,15,M
279,Mo08HH279,11,F
280,Mo08HH280,11,M
281,Mo08HH281,9,F
