part_id,type,part_occupation,part_occupation_detail,part_education,part_education_length,participant_school_year,participant_nationality,child_care,child_care_detail,child_relationship,child_nationality,problems,diary_how,diary_missed_unsp,diary_missed_skin,diary_missed_noskin
1,3,5,7,3,13,,IT,Y,,2,IT,N,2,2,,
2,3,5,7,3,11,,IT,Y,,1,IT,N,3,1,,
3,3,6,7,3,13,,IT,N,,1,IT,N,2,1,,
4,3,6,,3,13,,IT,N,,1,IT,N,2,1,,
5,3,6,7,6,18,,IT,N,,1,IT,N,3,2,,
6,3,5,7,6,18,,IT,Y,,1,IT,Y,2,2,,
7,3,6,7,3,13,,IT,N,,1,IT,N,2,1,,
8,3,5,,3,13,,IT,Y,,1,IT,N,2,2,,
9,3,5,7,6,18,,IT,Y,,1,IT,N,2,1,,
10,3,6,7,5,16,,IT,N,,1,IT,N,1,1,,
11,3,5,,3,13,,IT,Y,,1,IT,N,1,,,
12,3,6,,2,8,,IT,N,,5,IT,,,,,
13,3,5,8,2,8,,IT,Y,,2,IT,N,2,4,,
14,3,5,8,3,11,,IT,Y,,2,IT,N,3,3,,
15,3,6,7,5,16,,IT,N,,1,IT,N,2,1,,
16,3,5,,0,0,,IT,Y,,5,IT,N,2,2,,
17,3,5,,0,0,,IT,Y,,3,IT,N,3,4,,
18,3,5,,3,13,,IT,Y,,2,IT,N,2,1,,
19,3,5,7,3,13,,IT,Y,,1,IT,N,1,1,,
20,3,5,7,3,13,,IT,Y,,2,IT,N,2,4,,
21,3,5,7,3,13,,IT,Y,,1,IT,N,2,3,,
22,3,5,7,6,18,,IT,Y,,1,IT,N,2,3,,
23,3,5,7,3,13,,IT,Y,,1,IT,N,1,2,,
24,3,5,8,3,13,,IT,Y,,2,IT,N,3,4,,
25,3,5,8,3,11,,IT,Y,,1,IT,N,2,1,,
26,3,5,8,3,13,,IT,Y,,2,IT,N,2,1,,
27,3,5,,3,11,,IT,Y,,1,IT,N,1,4,,
28,3,5,7,3,13,,IT,Y,,2,IT,N,2,3,,
29,3,5,6,3,13,,IT,Y,,1,IT,N,3,2,,
30,3,5,6,6,18,,IT,Y,,2,IT,N,2,2,,
31,3,5,,3,13,,IT,Y,,1,IT,N,2,4,,
32,3,5,7,3,13,,IT,Y,,5,IT,N,2,2,,
33,3,5,,2,8,,IT,Y,,1,IT,N,1,3,,
34,3,5,5,3,11,,IT,Y,,1,IT,N,1,1,,
35,3,5,7,6,18,,IT,Y,,1,IT,N,1,3,,
36,2,5,,,,4,IT,,,,,N,3,4,,
37,2,5,,,,9,IT,,,,,N,2,4,,
38,2,5,,,,5,IT,,,,,N,1,1,,
39,2,5,,,,8,IT,,,,,N,1,2,,
40,2,5,,,,3,IT,,,,,N,1,4,,
41,2,5,,,,3,IT,,,,,N,3,4,,
42,2,5,,,,10,IT,,,,,N,1,3,,
43,2,5,,,,5,IT,,,,,N,3,1,,
44,2,5,,,,10,IT,,,,,N,2,4,,
45,2,5,,,,7,IT,,,,,N,2,4,,
46,2,5,,,,8,IT,,,,,N,1,1,,
47,2,5,,,,10,IT,,,,,N,1,1,,
48,2,5,,,,9,IT,,,,,N,2,1,,
49,2,5,,,,9,IT,,,,,N,2,1,,
50,2,5,,,,6,IT,,,,,Y,2,4,,
51,2,5,,,,5,IT,,,,,N,2,4,,
52,2,5,,,,11,IT,,,,,N,3,4,,
53,2,5,,,,4,IT,,,,,N,2,4,,
54,2,5,,,,11,IT,,,,,N,2,4,,
55,2,5,,,,11,IT,,,,,N,1,4,,
56,2,5,,,,9,IT,,,,,N,1,4,,
57,2,5,,,,4,IT,,,,,N,2,1,,
58,2,5,,,,6,IT,,,,,N,3,1,,
59,2,5,,,,7,IT,,,,,Y,2,4,,
60,2,5,,,,8,IT,,,,,N,3,4,,
61,2,5,,,,9,IT,,,,,N,1,1,,
62,2,5,,,,9,IT,,,,,N,2,1,,
63,2,5,,,,7,IT,,,,,N,1,2,,
64,2,5,,,,8,IT,,,,,N,3,1,,
65,2,5,,,,8,IT,,,,,N,2,3,,
66,2,5,,,,9,IT,,,,,N,2,1,,
67,2,5,,,,7,IT,,,,,N,2,2,,
68,2,5,,,,12,IT,,,,,N,3,4,,
69,2,5,,,,11,IT,,,,,N,2,1,,
70,2,5,,,,6,IT,,,,,N,2,3,,
71,2,5,,,,10,IT,,,,,N,2,2,,
72,2,5,,,,11,IT,,,,,N,2,2,,
73,2,5,,,,5,IT,,,,,N,1,4,,
74,2,5,,,,12,IT,,,,,N,2,4,,
75,2,5,,,,6,IT,,,,,N,2,2,,
76,2,5,,,,5,IT,,,,,N,1,4,,
77,2,5,,,,7,IT,,,,,N,3,3,,
78,2,5,,,,4,IT,,,,,N,1,1,,
79,2,5,,,,12,IT,,,,,,,,,
80,2,5,,,,8,IT,,,,,N,2,2,,
81,2,5,,,,2,IT,,,,,Y,3,4,,
82,2,5,,,,8,IT,,,,,N,1,1,,
83,2,5,,,,4,IT,,,,,N,2,2,,
84,2,5,,,,9,IT,,,,,N,2,4,,
85,2,5,,,,,IT,,,,,,,,,
86,2,5,,,,12,IT,,,,,N,2,2,,
87,2,5,,,,6,IT,,,,,N,2,1,,
88,2,5,,,,9,IT,,,,,N,1,4,,
89,2,5,,,,7,IT,,,,,N,2,1,,
90,2,5,,,,8,IT,,,,,N,3,3,,
91,2,5,,,,7,IT,,,,,N,2,1,,
92,2,5,,,,3,IT,,,,,N,3,2,,
93,2,5,,,,4,IT,,,,,N,2,2,,
94,3,5,,1,5,,IT,Y,,5,IT,N,2,1,,
95,3,5,6,6,18,,IT,Y,,5,IT,N,2,2,,
96,3,5,7,3,13,,IT,Y,,2,IT,Y,2,3,,
97,3,6,7,3,13,,IT,N,,1,IT,N,1,1,,
98,3,5,6,6,18,,IT,Y,,1,IT,N,1,3,,
99,3,6,,6,18,,IT,N,,1,IT,,,,,
100,3,5,,6,18,,IT,Y,,1,IT,N,2,1,,
101,3,5,7,3,11,,IT,Y,,2,IT,N,2,2,,
102,3,6,,6,18,,IT,N,,1,IT,,,,,
103,3,5,,3,13,,IT,Y,,1,IT,N,2,3,,
104,3,5,7,2,8,,IT,Y,,1,IT,N,3,4,,
105,3,5,7,3,13,,IT,Y,,2,IT,N,2,4,,
106,3,5,8,2,8,,IT,Y,,2,IT,N,1,1,,
107,3,5,,2,8,,IT,Y,,1,IT,N,1,1,,
108,3,5,7,6,18,,IT,Y,,2,IT,N,1,1,,
109,3,5,,2,8,,IT,Y,,1,IT,,,,,
110,3,5,7,6,18,,IT,Y,,1,IT,N,2,2,,
111,3,5,6,6,18,,IT,Y,,2,IT,N,2,4,,
112,3,6,,1,5,,IT,N,,1,IT,N,2,1,,
113,3,5,7,3,13,,IT,Y,,1,IT,N,2,4,,
114,3,5,,3,13,,IT,Y,,1,IT,N,1,3,,
115,3,5,7,6,18,,IT,Y,,2,IT,N,2,1,,
116,3,6,7,3,13,,IT,N,,1,IT,N,3,1,,
117,3,5,7,6,18,,IT,Y,,1,IT,N,2,1,,
118,3,5,7,3,13,,IT,Y,,1,IT,N,2,2,,
119,3,5,,3,11,,IT,Y,,1,IT,N,2,4,,
120,3,5,,3,13,,IT,Y,,1,IT,N,3,1,,
121,3,6,7,6,18,,IT,N,,1,IT,N,3,1,,
122,3,6,7,3,13,,IT,N,,1,IT,N,2,,,
123,3,6,7,6,18,,IT,N,,4,IT,N,3,1,,
124,3,5,7,3,13,,IT,Y,,2,IT,Y,2,1,,
125,3,5,5,3,13,,IT,Y,,2,IT,N,3,1,,
126,3,5,,2,8,,IT,Y,,2,IT,N,1,1,,
127,3,5,8,2,8,,IT,Y,,2,IT,N,3,1,,
128,3,5,5,2,8,,IT,Y,,2,IT,N,,4,,
129,3,5,7,3,13,,IT,Y,,1,IT,N,2,1,,
130,3,6,7,3,13,,IT,N,,1,IT,N,3,1,,
131,3,6,5,3,11,,IT,N,,1,IT,N,,1,,
132,3,5,7,3,13,,IT,Y,,1,,N,2,2,,
133,3,6,8,2,8,,IT,N,,1,IT,N,2,1,,
134,3,6,7,5,16,,IT,N,,1,IT,N,2,1,,
135,3,5,,3,13,,IT,Y,,2,IT,N,3,4,,
136,3,5,7,3,13,,IT,Y,,1,IT,N,2,1,,
137,3,5,,3,11,,IT,Y,,1,IT,Y,3,4,,
138,3,5,7,3,13,,IT,Y,,1,IT,Y,2,4,,
139,3,5,7,3,13,,IT,Y,,1,IT,N,2,1,,
140,3,5,8,3,11,,IT,Y,,1,IT,N,2,1,,
141,3,5,,2,8,,IT,Y,,1,IT,N,1,1,,
142,3,5,7,3,13,,IT,Y,,5,IT,Y,1,1,,
143,3,5,,3,13,,IT,Y,,1,IT,N,3,1,,
144,3,5,7,3,13,,IT,Y,,2,IT,N,1,2,,
145,3,5,7,3,11,,IT,Y,,1,IT,N,3,4,,
146,3,5,7,3,13,,OT,Y,,2,IT,N,2,3,,
147,3,5,7,3,13,,IT,Y,,2,IT,,,,,
148,3,5,7,3,13,,IT,Y,,,IT,N,2,,,
149,3,5,,6,18,,IT,Y,,2,IT,N,1,4,,
150,3,5,7,6,18,,IT,Y,,1,IT,N,1,1,,
151,3,6,5,3,13,,IT,N,,2,IT,N,2,2,,
152,3,5,8,2,8,,IT,Y,,2,IT,N,2,3,,
