"part_id","sday_id","day","month","year","dayofweek"
1,20060525,25,5,2006,4
2,20060525,25,5,2006,4
3,20060525,25,5,2006,4
4,20060526,26,5,2006,5
5,20060525,25,5,2006,4
6,20060525,25,5,2006,4
7,20060525,25,5,2006,4
8,20060524,24,5,2006,3
9,20060524,24,5,2006,3
10,20060525,25,5,2006,4
11,20060524,24,5,2006,3
12,20060525,25,5,2006,4
13,20060518,18,5,2006,4
14,20060525,25,5,2006,4
15,20060524,24,5,2006,3
16,20060523,23,5,2006,2
17,20060528,28,5,2006,0
18,20060528,28,5,2006,0
19,20060527,27,5,2006,6
20,20060526,26,5,2006,5
21,20060526,26,5,2006,5
22,20060525,25,5,2006,4
23,20060525,25,5,2006,4
24,20060526,26,5,2006,5
25,20060525,25,5,2006,4
26,20060528,28,5,2006,0
27,20060523,23,5,2006,2
28,20060526,26,5,2006,5
29,20060525,25,5,2006,4
30,20060525,25,5,2006,4
31,20060524,24,5,2006,3
32,20060526,26,5,2006,5
33,20060519,19,5,2006,5
34,20060525,25,5,2006,4
35,20060524,24,5,2006,3
36,20060526,26,5,2006,5
37,20060525,25,5,2006,4
38,20060527,27,5,2006,6
39,20060524,24,5,2006,3
40,20060520,20,5,2006,6
41,20060524,24,5,2006,3
42,20060525,25,5,2006,4
43,20060528,28,5,2006,0
44,20060527,27,5,2006,6
45,20060523,23,5,2006,2
46,20060523,23,5,2006,2
47,20060524,24,5,2006,3
48,20060524,24,5,2006,3
49,20060525,25,5,2006,4
50,20060524,24,5,2006,3
51,20060524,24,5,2006,3
52,20060527,27,5,2006,6
53,20060525,25,5,2006,4
54,20060526,26,5,2006,5
55,20060526,26,5,2006,5
56,20060524,24,5,2006,3
57,20060524,24,5,2006,3
58,20060528,28,5,2006,0
59,20060526,26,5,2006,5
60,20060526,26,5,2006,5
61,20060527,27,5,2006,6
62,20060528,28,5,2006,0
63,20060525,25,5,2006,4
64,20060527,27,5,2006,6
65,20060527,27,5,2006,6
66,20060524,24,5,2006,3
67,20060526,26,5,2006,5
68,20060527,27,5,2006,6
69,20060522,22,5,2006,1
70,20060527,27,5,2006,6
71,20060526,26,5,2006,5
72,20060525,25,5,2006,4
73,20060526,26,5,2006,5
74,20060527,27,5,2006,6
75,20060524,24,5,2006,3
76,20060524,24,5,2006,3
77,20060527,27,5,2006,6
78,20060526,26,5,2006,5
79,20060526,26,5,2006,5
80,20060525,25,5,2006,4
81,20060525,25,5,2006,4
82,20060524,24,5,2006,3
83,20060526,26,5,2006,5
84,20060524,24,5,2006,3
85,20060527,27,5,2006,6
86,20060527,27,5,2006,6
87,20060525,25,5,2006,4
88,20060526,26,5,2006,5
89,20060525,25,5,2006,4
90,20060528,28,5,2006,0
91,20060528,28,5,2006,0
92,20060527,27,5,2006,6
93,20060523,23,5,2006,2
94,20060527,27,5,2006,6
95,20060528,28,5,2006,0
96,20060526,26,5,2006,5
97,20060525,25,5,2006,4
98,20060524,24,5,2006,3
99,NA,NA,5,2006,NA
100,20060526,26,5,2006,5
101,20060525,25,5,2006,4
102,20060526,26,5,2006,5
103,20060526,26,5,2006,5
104,20060524,24,5,2006,3
105,20060524,24,5,2006,3
106,20060525,25,5,2006,4
107,20060525,25,5,2006,4
108,20060527,27,5,2006,6
109,20060524,24,5,2006,3
110,20060525,25,5,2006,4
111,20060526,26,5,2006,5
112,20060528,28,5,2006,0
113,20060525,25,5,2006,4
114,NA,NA,5,2006,NA
115,20060528,28,5,2006,0
116,20060526,26,5,2006,5
117,20060524,24,5,2006,3
118,20060524,24,5,2006,3
119,20060527,27,5,2006,6
120,20060525,25,5,2006,4
121,20060526,26,5,2006,5
122,20060524,24,5,2006,3
123,20060526,26,5,2006,5
124,20060523,23,5,2006,2
125,20060525,25,5,2006,4
126,20060526,26,5,2006,5
127,20060527,27,5,2006,6
128,20060525,25,5,2006,4
129,20060525,25,5,2006,4
130,20060524,24,5,2006,3
