GENESIS-Tabelle: 12411-0005
Bevölkerung: Deutschland, Stichtag, Altersjahre;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Deutschland;;;;;
Bevölkerungsstand (Anzahl);;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018
unter 1 Jahr;716419;744721;788299;785074;783978
1-Jährige;695915;740078;762519;796149;796374
2-Jährige;694369;715608;753217;770628;802651
3-Jährige;681109;713757;727203;760868;776763
4-Jährige;698599;699382;725208;734059;766631
5-Jährige;687851;716863;709649;732088;739729
6-Jährige;706180;704716;725990;715528;736749
7-Jährige;704334;723366;714614;732586;720613
8-Jährige;691490;720452;733904;721168;738238
9-Jährige;701623;706517;729770;740846;726909
10-Jährige;720022;716699;715498;736082;746345
11-Jährige;720522;733698;725080;721745;741530
12-Jährige;733069;733981;741434;730820;726923
13-Jährige;750865;746291;741827;746890;735760
14-Jährige;784356;764997;754356;747228;751622
15-Jährige;786661;802215;774861;760238;752351
16-Jährige;805999;811294;817175;781964;766517
17-Jährige;832637;831042;829658;824185;787745
18-Jährige;826219;873171;852649;841946;835762
19-Jährige;815272;872242;898526;872234;861102
20-Jährige;839173;864859;896869;918164;891659
21-Jährige;874957;882914;883871;913985;934518
22-Jährige;895922;918055;900327;899827;929523
23-Jährige;938818;940583;935857;918306;916924
24-Jährige;1037458;981467;957107;952232;934648
25-Jährige;1030691;1081508;996131;971610;967092
26-Jährige;1062175;1069607;1094013;1009672;985364
27-Jährige;1044361;1099077;1081506;1105660;1021919
28-Jährige;1030624;1077451;1108891;1092555;1116459
29-Jährige;998975;1060038;1086215;1118583;1102501
30-Jährige;997920;1028283;1068203;1094733;1127589
31-Jährige;1003047;1023414;1036328;1075886;1103635
32-Jährige;1027335;1026274;1029887;1043548;1083657
33-Jährige;1021180;1049220;1032181;1036879;1050793
34-Jährige;1024599;1040669;1054476;1039206;1043355
35-Jährige;977736;1045965;1045463;1060221;1045184
36-Jährige;965515;995685;1050450;1051212;1065675
37-Jährige;957954;981810;999664;1056495;1056516
38-Jährige;940936;973528;985590;1004728;1060769
39-Jährige;916475;954756;976871;990554;1009272
40-Jährige;930179;930453;957877;981486;995070
41-Jährige;939183;942794;933123;962843;985641
42-Jährige;1020846;950684;945184;937518;966513
43-Jährige;1125520;1031271;953024;949657;941433
44-Jährige;1168551;1134886;1032778;956853;953081
45-Jährige;1257494;1177330;1135810;1035587;959668
46-Jährige;1318041;1265093;1177742;1138293;1038269
47-Jährige;1354898;1324666;1264331;1179668;1140019
48-Jährige;1393452;1359970;1323771;1265662;1180738
49-Jährige;1398539;1396645;1358258;1324077;1265825
50-Jährige;1425189;1400912;1393957;1357827;1323697
51-Jährige;1413324;1426217;1397753;1392300;1356220
52-Jährige;1368092;1413510;1421951;1395078;1389766
53-Jährige;1348394;1367400;1408732;1418449;1391794
54-Jährige;1301653;1346726;1361914;1404391;1414471
55-Jährige;1265624;1299396;1340408;1357082;1399366
56-Jährige;1193969;1261766;1293120;1334645;1351589
57-Jährige;1166077;1190144;1254555;1286991;1327937
58-Jährige;1132207;1160912;1182584;1247579;1279695
59-Jährige;1095255;1126422;1152459;1175219;1239631
60-Jährige;1072820;1088896;1117653;1144314;1166642
61-Jährige;1035717;1065097;1079772;1108669;1135091
62-Jährige;1031649;1027643;1055517;1070337;1098993
63-Jährige;1008255;1022255;1017147;1045334;1059645
64-Jährige;1004536;998165;1011191;1006399;1033543
65-Jährige;967820;993544;986117;999682;994300
66-Jährige;880316;955943;980637;973689;986573
67-Jährige;822979;868455;942547;967521;960173
68-Jährige;714011;811207;855561;928887;953314
69-Jährige;623768;702735;798439;841915;914137
70-Jährige;827839;613134;690163;784815;827191
71-Jährige;834208;812814;601545;676907;770080
72-Jährige;801337;817825;796592;589302;662844
73-Jährige;963133;784324;800408;779008;575993
74-Jährige;999697;941096;766229;781877;760437
75-Jährige;968206;974315;917490;746906;761531
76-Jährige;882884;940958;947484;892443;726066
77-Jährige;803177;855435;912772;918608;865057
78-Jährige;753546;775260;826172;882457;887604
79-Jährige;701492;723930;745639;795009;849126
80-Jährige;622710;669656;692490;713800;761230
81-Jährige;476467;590675;636554;658716;679410
82-Jährige;449106;448413;557352;601037;622557
83-Jährige;428716;419124;419843;521954;563565
84-Jährige;419703;396544;388732;389704;484835
85 Jahre und mehr;2147596;2204791;2246939;2265474;2277509
Insgesamt;81197537;82175684;82521653;82792351;83019213
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2020
Stand: 28.04.2020 / 09:12:58
