id;name;population;male;female
11001;Berlin-Mitte;383457;199120;184337
11002;Berlin-Friedrichshain-Kreuzberg;289120;148539;140581
11003;Berlin-Pankow;407039;199899;207140
11004;Berlin-Charlottenburg-Wilmersdorf;341327;165435;175892
11005;Berlin-Spandau;243080;118913;124167
11006;Berlin-Steglitz-Zehlendorf;308077;145723;162354
11007;Berlin-Tempelhof-Schöneberg;351429;172330;351429
11008;Berlin-Neukölln;330786;164980;165806
11009;Berlin-Treptow-Köpenick;269775;132290;137485
11010;Berlin-Marzahn-Hellersdorf;268739;133358;135381
11011;Berlin-Lichtenberg;290493;144491;146002
11012;Berlin-Reinickendorf;264826;130170;134656
